date,code,close,pctChg,a20,a50
2010/1/4,sh.000300,3535.229,-1.131394,3508.9738,
2010/1/5,sh.000300,3564.038,0.814914,3503.7341,
2010/1/6,sh.000300,3541.727,-0.626004,3499.6195,
2010/1/7,sh.000300,3471.456,-1.984089,3495.4684,
2010/1/8,sh.000300,3480.13,0.249861,3490.61305,
2010/1/11,sh.000300,3482.052,0.055231,3485.96465,
2010/1/12,sh.000300,3534.916,1.518186,3482.0728,
2010/1/13,sh.000300,3421.144,-3.21852,3473.96295,
2010/1/14,sh.000300,3469.051,1.400321,3469.37935,
2010/1/15,sh.000300,3482.738,0.394546,3469.5086,
2010/1/18,sh.000300,3500.684,0.515285,3474.95605,
2010/1/19,sh.000300,3507.482,0.194186,3480.49905,
2010/1/20,sh.000300,3394.434,-3.223049,3484.9436,
2010/1/21,sh.000300,3408.574,0.416561,3488.5483,
2010/1/22,sh.000300,3366.197,-1.243246,3484.9173,
2010/1/25,sh.000300,3328.014,-1.13431,3480.07885,
2010/1/26,sh.000300,3242.797,-2.56059,3468.29705,
2010/1/27,sh.000300,3198.566,-1.363983,3453.1885,
2010/1/28,sh.000300,3206.57,0.250242,3435.57415,
2010/1/29,sh.000300,3204.155,-0.075315,3416.9977,
2010/2/1,sh.000300,3152.707,-1.605665,3397.8716,
2010/2/2,sh.000300,3146.189,-0.206745,3376.97915,
2010/2/3,sh.000300,3230.715,2.686619,3361.42855,
2010/2/4,sh.000300,3218.802,-0.368745,3348.79585,
2010/2/5,sh.000300,3153.087,-2.041601,3332.4437,
2010/2/8,sh.000300,3150.988,-0.066566,3315.8905,
2010/2/9,sh.000300,3169.19,0.577657,3297.6042,
2010/2/10,sh.000300,3214.13,1.418026,3287.2535,
2010/2/11,sh.000300,3220.398,0.195016,3274.82085,
2010/2/12,sh.000300,3251.278,0.958892,3263.24785,
2010/2/22,sh.000300,3233.345,-0.551571,3249.8809,
2010/2/23,sh.000300,3198.634,-1.07353,3234.4385,
2010/2/24,sh.000300,3244.483,1.433389,3226.94095,
2010/2/25,sh.000300,3292.128,1.468493,3221.11865,
2010/2/26,sh.000300,3281.666,-0.317786,3216.8921,
2010/3/1,sh.000300,3324.423,1.302908,3216.71255,
2010/3/2,sh.000300,3311.236,-0.396671,3220.1345,
2010/3/3,sh.000300,3335.081,0.720123,3226.96025,
2010/3/4,sh.000300,3250.573,-2.533913,3229.1604,
2010/3/5,sh.000300,3259.764,0.282748,3231.94085,
2010/3/8,sh.000300,3286.178,0.810306,3238.6144,
2010/3/9,sh.000300,3305.863,0.599026,3246.5981,
2010/3/10,sh.000300,3279.694,-0.791592,3249.04705,
2010/3/11,sh.000300,3276.705,-0.091137,3251.9422,
2010/3/12,sh.000300,3233.126,-1.329967,3255.94415,
2010/3/15,sh.000300,3183.183,-1.544724,3257.5539,
2010/3/16,sh.000300,3203.971,0.653052,3259.29295,
2010/3/17,sh.000300,3273.916,2.183074,3262.28225,
2010/3/18,sh.000300,3267.555,-0.194296,3264.6401,
2010/3/19,sh.000300,3293.871,0.805378,3266.76975,3311.65666
2010/3/22,sh.000300,3302.628,0.265852,3270.2339,3307.00464
2010/3/23,sh.000300,3275.573,-0.819194,3274.08085,3301.23534
2010/3/24,sh.000300,3276.669,0.033458,3275.69015,3295.93418
2010/3/25,sh.000300,3229.128,-1.450895,3272.54015,3291.08762
2010/3/26,sh.000300,3275.002,1.420632,3272.20695,3286.98506
2010/3/29,sh.000300,3358.54,2.55078,3273.9128,3284.51482
2010/3/30,sh.000300,3366.708,0.2432,3276.6864,3281.15066
2010/3/31,sh.000300,3345.607,-0.626757,3277.2127,3279.63992
2010/4/1,sh.000300,3391.935,1.384745,3284.2808,3278.0976
2010/4/2,sh.000300,3407.346,0.454339,3291.6599,3276.58976
2010/4/6,sh.000300,3405.145,-0.064594,3297.60825,3274.67898
2010/4/7,sh.000300,3386.949,-0.534369,3301.66255,3272.26832
2010/4/8,sh.000300,3346.744,-1.187059,3305.01505,3271.31452
2010/4/9,sh.000300,3379.17,0.968883,3310.1383,3270.72644
2010/4/12,sh.000300,3351.478,-0.819488,3316.0559,3270.43206
2010/4/13,sh.000300,3391.716,1.200606,3326.48255,3271.7061
2010/4/14,sh.000300,3403.707,0.353537,3336.46935,3274.9243
2010/4/15,sh.000300,3394.574,-0.268327,3342.50225,3278.84446
2010/4/16,sh.000300,3356.332,-1.126561,3346.9411,3281.8397
2010/4/19,sh.000300,3176.423,-5.360284,3341.0687,3281.28506
2010/4/20,sh.000300,3173.374,-0.095991,3334.606,3281.6984
2010/4/21,sh.000300,3236.679,1.994878,3332.6613,3283.5082
2010/4/22,sh.000300,3201.541,-1.085617,3328.9049,3282.92472
2010/4/23,sh.000300,3190.003,-0.360392,3326.94865,3282.34874
2010/4/26,sh.000300,3171.997,-0.564446,3321.7984,3282.72694
2010/4/27,sh.000300,3108.409,-2.004672,3309.29185,3281.87536
2010/4/28,sh.000300,3097.353,-0.355677,3295.8241,3280.43862
2010/4/29,sh.000300,3060.064,-1.203901,3281.54695,3277.3573
2010/4/30,sh.000300,3067.365,0.238591,3265.31845,3274.29664
2010/5/4,sh.000300,3019.449,-1.562123,3245.9236,3269.66006
2010/5/5,sh.000300,3036.394,0.561197,3227.48605,3265.72104
2010/5/6,sh.000300,2896.856,-4.59552,3202.9814,3259.68548
