date,code,close,pctChg
2010-01-04,sh.000300,3535.2290,-1.131394
2010-01-05,sh.000300,3564.0380,0.814914
2010-01-06,sh.000300,3541.7270,-0.626004
2010-01-07,sh.000300,3471.4560,-1.984089
2010-01-08,sh.000300,3480.1300,0.249861
2010-01-11,sh.000300,3482.0520,0.055231
2010-01-12,sh.000300,3534.9160,1.518186
2010-01-13,sh.000300,3421.1440,-3.218520
2010-01-14,sh.000300,3469.0510,1.400321
2010-01-15,sh.000300,3482.7380,0.394546
2010-01-18,sh.000300,3500.6840,0.515285
2010-01-19,sh.000300,3507.4820,0.194186
2010-01-20,sh.000300,3394.4340,-3.223049
2010-01-21,sh.000300,3408.5740,0.416561
2010-01-22,sh.000300,3366.1970,-1.243246
2010-01-25,sh.000300,3328.0140,-1.134310
2010-01-26,sh.000300,3242.7970,-2.560590
2010-01-27,sh.000300,3198.5660,-1.363983
2010-01-28,sh.000300,3206.5700,0.250242
2010-01-29,sh.000300,3204.1550,-0.075315
2010-02-01,sh.000300,3152.7070,-1.605665
2010-02-02,sh.000300,3146.1890,-0.206745
2010-02-03,sh.000300,3230.7150,2.686619
2010-02-04,sh.000300,3218.8020,-0.368745
2010-02-05,sh.000300,3153.0870,-2.041601
2010-02-08,sh.000300,3150.9880,-0.066566
2010-02-09,sh.000300,3169.1900,0.577657
2010-02-10,sh.000300,3214.1300,1.418026
2010-02-11,sh.000300,3220.3980,0.195016
2010-02-12,sh.000300,3251.2780,0.958892
2010-02-22,sh.000300,3233.3450,-0.551571
2010-02-23,sh.000300,3198.6340,-1.073530
2010-02-24,sh.000300,3244.4830,1.433389
2010-02-25,sh.000300,3292.1280,1.468493
2010-02-26,sh.000300,3281.6660,-0.317786
2010-03-01,sh.000300,3324.4230,1.302908
2010-03-02,sh.000300,3311.2360,-0.396671
2010-03-03,sh.000300,3335.0810,0.720123
2010-03-04,sh.000300,3250.5730,-2.533913
2010-03-05,sh.000300,3259.7640,0.282748
2010-03-08,sh.000300,3286.1780,0.810306
2010-03-09,sh.000300,3305.8630,0.599026
2010-03-10,sh.000300,3279.6940,-0.791592
2010-03-11,sh.000300,3276.7050,-0.091137
2010-03-12,sh.000300,3233.1260,-1.329967
2010-03-15,sh.000300,3183.1830,-1.544724
2010-03-16,sh.000300,3203.9710,0.653052
2010-03-17,sh.000300,3273.9160,2.183074
2010-03-18,sh.000300,3267.5550,-0.194296
2010-03-19,sh.000300,3293.8710,0.805378
2010-03-22,sh.000300,3302.6280,0.265852
2010-03-23,sh.000300,3275.5730,-0.819194
2010-03-24,sh.000300,3276.6690,0.033458
2010-03-25,sh.000300,3229.1280,-1.450895
2010-03-26,sh.000300,3275.0020,1.420632
2010-03-29,sh.000300,3358.5400,2.550780
2010-03-30,sh.000300,3366.7080,0.243200
2010-03-31,sh.000300,3345.6070,-0.626757
2010-04-01,sh.000300,3391.9350,1.384745
2010-04-02,sh.000300,3407.3460,0.454339
2010-04-06,sh.000300,3405.1450,-0.064594
2010-04-07,sh.000300,3386.9490,-0.534369
2010-04-08,sh.000300,3346.7440,-1.187059
2010-04-09,sh.000300,3379.1700,0.968883
2010-04-12,sh.000300,3351.4780,-0.819488
2010-04-13,sh.000300,3391.7160,1.200606
2010-04-14,sh.000300,3403.7070,0.353537
2010-04-15,sh.000300,3394.5740,-0.268327
2010-04-16,sh.000300,3356.3320,-1.126561
2010-04-19,sh.000300,3176.4230,-5.360284
2010-04-20,sh.000300,3173.3740,-0.095991
2010-04-21,sh.000300,3236.6790,1.994878
2010-04-22,sh.000300,3201.5410,-1.085617
2010-04-23,sh.000300,3190.0030,-0.360392
2010-04-26,sh.000300,3171.9970,-0.564446
2010-04-27,sh.000300,3108.4090,-2.004672
2010-04-28,sh.000300,3097.3530,-0.355677
2010-04-29,sh.000300,3060.0640,-1.203901
2010-04-30,sh.000300,3067.3650,0.238591
2010-05-04,sh.000300,3019.4490,-1.562123
2010-05-05,sh.000300,3036.3940,0.561197
2010-05-06,sh.000300,2896.8560,-4.595520
